Prscrbr_NPI,Prscrbr_Last_Org_Name,Prscrbr_First_Name,Prscrbr_City,Prscrbr_District,Prscrbr_State_Abrvtn,Prscrbr_State_FIPS,Prscrbr_Type,Prscrbr_Type_Src,Specialty,Locality
NPIIN1000000000,Reddy,Arun,Chennai,Chennai,TN,33,Individual,SYNTHETIC_CMS_STYLE,Diabetology,Chromepet
NPIIN1000000001,Rajan,Hari,Chennai,Chennai,TN,33,Group Practice,SYNTHETIC_CMS_STYLE,Diabetology,Chromepet
NPIIN1000000002,Reddy,Arun,Chennai,Chennai,TN,33,Group Practice,SYNTHETIC_CMS_STYLE,Orthopedics,Mylapore
NPIIN1000000003,Reddy,Divya,Chennai,Chennai,TN,33,Individual,SYNTHETIC_CMS_STYLE,ENT,Perambur
NPIIN1000000004,Rajan,Karthik,Chennai,Chennai,TN,33,Individual,SYNTHETIC_CMS_STYLE,Cardiology,Anna Nagar
NPIIN1000000005,Kumar,Hari,Chennai,Chennai,TN,33,Individual,SYNTHETIC_CMS_STYLE,Diabetology,Egmore
NPIIN1000000006,Sharma,Divya,Chennai,Chennai,TN,33,Individual,SYNTHETIC_CMS_STYLE,ENT,Guindy
NPIIN1000000007,Iyer,Suresh,Chennai,Chennai,TN,33,Group Practice,SYNTHETIC_CMS_STYLE,Orthopedics,Mogappair
NPIIN1000000008,Iyer,Deepa,Chennai,Chennai,TN,33,Individual,SYNTHETIC_CMS_STYLE,Pediatrics,Porur
NPIIN1000000009,Kumar,Ravi,Chennai,Chennai,TN,33,Individual,SYNTHETIC_CMS_STYLE,Urology,Guindy
NPIIN1000000010,Krishnan,Vijay,Chennai,Chennai,TN,33,Individual,SYNTHETIC_CMS_STYLE,Neurology,Tambaram
NPIIN1000000011,Sharma,Sathish,Chennai,Chennai,TN,33,Group Practice,SYNTHETIC_CMS_STYLE,Diabetology,Porur
NPIIN1000000012,Sharma,Deepa,Chennai,Chennai,TN,33,Individual,SYNTHETIC_CMS_STYLE,Endocrinology,Alandur
NPIIN1000000013,Krishnan,Deepa,Chennai,Chennai,TN,33,Individual,SYNTHETIC_CMS_STYLE,Orthopedics,Adyar
NPIIN1000000014,Subramanian,Kavya,Chennai,Chennai,TN,33,Individual,SYNTHETIC_CMS_STYLE,Neurology,Sholinganallur
NPIIN1000000015,Iyer,Rajesh,Chennai,Chennai,TN,33,Individual,SYNTHETIC_CMS_STYLE,Endocrinology,Kodambakkam
NPIIN1000000016,Subramanian,Divya,Chennai,Chennai,TN,33,Individual,SYNTHETIC_CMS_STYLE,Urology,Nungambakkam
NPIIN1000000017,Krishnan,Karthik,Chennai,Chennai,TN,33,Individual,SYNTHETIC_CMS_STYLE,Orthopedics,Egmore
NPIIN1000000018,Subramanian,Ravi,Chennai,Chennai,TN,33,Hospital/Clinic,SYNTHETIC_CMS_STYLE,Diabetology,Thiruvanmiyur
NPIIN1000000019,Murugan,Priya,Chennai,Chennai,TN,33,Group Practice,SYNTHETIC_CMS_STYLE,General Medicine,Nungambakkam
NPIIN1000000020,Murugan,Nandhini,Chennai,Chennai,TN,33,Individual,SYNTHETIC_CMS_STYLE,Orthopedics,Ambattur
NPIIN1000000021,Sharma,Kavya,Chennai,Chennai,TN,33,Individual,SYNTHETIC_CMS_STYLE,Neurology,Anna Nagar
NPIIN1000000022,Krishnan,Hari,Chennai,Chennai,TN,33,Individual,SYNTHETIC_CMS_STYLE,Pulmonology,Pallavaram
NPIIN1000000023,Rajan,Arun,Chennai,Chennai,TN,33,Group Practice,SYNTHETIC_CMS_STYLE,Pulmonology,Pallavaram
NPIIN1000000024,Subramanian,Priya,Chennai,Chennai,TN,33,Individual,SYNTHETIC_CMS_STYLE,Orthopedics,Mylapore
NPIIN1000000025,Reddy,Karthik,Chennai,Chennai,TN,33,Hospital/Clinic,SYNTHETIC_CMS_STYLE,Endocrinology,Ambattur
NPIIN1000000026,Narayanan,Lakshmi,Chennai,Chennai,TN,33,Individual,SYNTHETIC_CMS_STYLE,Endocrinology,Ambattur
NPIIN1000000027,Reddy,Vijay,Chennai,Chennai,TN,33,Individual,SYNTHETIC_CMS_STYLE,Endocrinology,T Nagar
NPIIN1000000028,Subramanian,Ravi,Chennai,Chennai,TN,33,Individual,SYNTHETIC_CMS_STYLE,Diabetology,T Nagar
NPIIN1000000029,Menon,Prakash,Chennai,Chennai,TN,33,Individual,SYNTHETIC_CMS_STYLE,Pediatrics,Velachery
NPIIN1000000030,Murugan,Arun,Chennai,Chennai,TN,33,Individual,SYNTHETIC_CMS_STYLE,Urology,Mylapore
NPIIN1000000031,Subramanian,Suresh,Chennai,Chennai,TN,33,Hospital/Clinic,SYNTHETIC_CMS_STYLE,Endocrinology,Pallavaram
NPIIN1000000032,Murugan,Kavya,Chennai,Chennai,TN,33,Hospital/Clinic,SYNTHETIC_CMS_STYLE,Orthopedics,Anna Nagar
NPIIN1000000033,Narayanan,Anitha,Chennai,Chennai,TN,33,Individual,SYNTHETIC_CMS_STYLE,Dermatology,Egmore
NPIIN1000000034,Iyer,Sathish,Chennai,Chennai,TN,33,Hospital/Clinic,SYNTHETIC_CMS_STYLE,Cardiology,Perambur
NPIIN1000000035,Kumar,Kavya,Chennai,Chennai,TN,33,Individual,SYNTHETIC_CMS_STYLE,Cardiology,Tambaram
