HCP_ID,HCP_Name,Specialty,City,Locality,Zone
NPIIN0000000001,HCP_00001,General Medicine,Chennai,Velachery,South Chennai
NPIIN0000000002,HCP_00002,General Medicine,Chennai,Madhavaram,North Chennai
NPIIN0000000003,HCP_00003,Cardiology,Chennai,Velachery,South Chennai
NPIIN0000000004,HCP_00004,Orthopedics,Chennai,Guindy,South Chennai
NPIIN0000000005,HCP_00005,Endocrinology,Chennai,Egmore,Central Chennai
NPIIN0000000006,HCP_00006,Diabetology,Chennai,Velachery,South Chennai
NPIIN0000000007,HCP_00007,Endocrinology,Chennai,Porur,South Chennai
NPIIN0000000008,HCP_00008,Urology,Chennai,Velachery,South Chennai
NPIIN0000000009,HCP_00009,Gastroenterology,Chennai,Nungambakkam,Central Chennai
NPIIN0000000010,HCP_00010,General Medicine,Chennai,Ambattur,North Chennai
NPIIN0000000011,HCP_00011,Orthopedics,Chennai,Royapuram,North Chennai
NPIIN0000000012,HCP_00012,Cardiology,Chennai,Velachery,South Chennai
NPIIN0000000013,HCP_00013,Urology,Chennai,Guindy,South Chennai
NPIIN0000000014,HCP_00014,Cardiology,Chennai,Adyar,South Chennai
NPIIN0000000015,HCP_00015,General Medicine,Chennai,Washermenpet,North Chennai
NPIIN0000000016,HCP_00016,Cardiology,Chennai,Egmore,Central Chennai
NPIIN0000000017,HCP_00017,Orthopedics,Chennai,Madhavaram,North Chennai
NPIIN0000000018,HCP_00018,Urology,Chennai,Mylapore,Central Chennai
NPIIN0000000019,HCP_00019,Pulmonology,Chennai,Sholinganallur,South Chennai
NPIIN0000000020,HCP_00020,Endocrinology,Chennai,Tambaram,South Chennai
NPIIN0000000021,HCP_00021,Diabetology,Chennai,Porur,South Chennai
NPIIN0000000022,HCP_00022,General Medicine,Chennai,Royapuram,North Chennai
NPIIN0000000023,HCP_00023,Diabetology,Chennai,Velachery,South Chennai
NPIIN0000000024,HCP_00024,Cardiology,Chennai,Velachery,South Chennai
NPIIN0000000025,HCP_00025,Neurology,Chennai,Sholinganallur,South Chennai
NPIIN0000000026,HCP_00026,Pulmonology,Chennai,Egmore,Central Chennai
NPIIN0000000027,HCP_00027,Urology,Chennai,Madhavaram,North Chennai
NPIIN0000000028,HCP_00028,General Medicine,Chennai,Mylapore,Central Chennai
NPIIN0000000029,HCP_00029,General Medicine,Chennai,Mylapore,Central Chennai
NPIIN0000000030,HCP_00030,General Medicine,Chennai,Guindy,South Chennai
NPIIN0000000031,HCP_00031,Endocrinology,Chennai,Adyar,South Chennai
NPIIN0000000032,HCP_00032,Pulmonology,Chennai,Sholinganallur,South Chennai
NPIIN0000000033,HCP_00033,Gastroenterology,Chennai,Egmore,Central Chennai
NPIIN0000000034,HCP_00034,Endocrinology,Chennai,Madhavaram,North Chennai
NPIIN0000000035,HCP_00035,Diabetology,Chennai,Royapuram,North Chennai
NPIIN0000000036,HCP_00036,Urology,Chennai,Mylapore,Central Chennai
NPIIN0000000037,HCP_00037,General Medicine,Chennai,Egmore,Central Chennai
NPIIN0000000038,HCP_00038,Pulmonology,Chennai,Ambattur,North Chennai
NPIIN0000000039,HCP_00039,Gastroenterology,Chennai,T Nagar,Central Chennai
