iter	Passed	Remaining
0	3	483
1	5	426
2	8	397
3	10	396
4	13	387
5	15	381
6	18	377
7	20	370
8	23	369
9	26	365
10	28	363
11	31	362
12	34	359
13	36	356
14	39	353
15	41	351
16	44	350
17	47	346
18	50	344
19	52	340
20	56	346
21	58	342
22	60	336
23	63	335
24	66	331
25	68	326
26	70	321
27	72	317
28	75	313
29	77	309
30	79	305
31	82	302
32	84	299
33	86	295
34	89	292
35	91	289
36	93	285
37	96	283
38	98	280
39	100	276
40	103	274
41	105	271
42	107	268
43	110	266
44	112	263
45	115	260
46	117	257
47	119	254
48	122	251
49	124	249
50	126	246
51	129	243
52	131	241
53	134	238
54	136	236
55	146	246
56	149	244
57	152	241
58	154	238
59	156	235
60	159	232
61	161	229
62	164	227
63	166	224
64	169	221
65	171	218
66	173	215
67	175	212
68	178	209
69	180	206
70	183	203
71	185	201
72	187	198
73	190	195
74	192	192
75	194	189
76	197	186
77	199	184
78	201	181
79	204	178
80	206	175
81	208	172
82	210	170
83	213	167
84	215	164
85	218	162
86	220	159
87	222	156
88	225	154
89	227	151
90	229	148
91	232	146
92	234	143
93	236	141
94	239	138
95	241	135
96	243	133
97	246	130
98	248	127
99	250	125
100	253	122
101	255	120
102	258	117
103	260	115
104	263	112
105	265	110
106	267	107
107	270	105
108	273	102
109	275	100
110	277	97
111	280	95
112	283	92
113	285	90
114	288	87
115	291	85
116	293	82
117	295	80
118	297	77
119	299	74
120	302	72
121	305	70
122	307	67
123	309	64
124	312	62
125	314	59
126	317	57
127	319	54
128	321	52
129	324	49
130	326	47
131	328	44
132	331	42
133	333	39
134	336	37
135	338	34
136	340	32
137	343	29
138	345	27
139	347	24
140	350	22
141	352	19
142	354	17
143	357	14
144	359	12
145	361	9
146	363	7
147	366	4
148	368	2
149	371	0
