Feature,Importance,Group
months_since_last_analog,27.187427374796123,Frequency/Recency
analog_total_qty,13.118339679939924,Analog Behavior
hcp_prior_qty_mean,11.77639964102539,Rolling Stats
analog_recency,11.664948139406219,Analog Behavior
analog_total_dcost,8.664104729924812,Analog Behavior
month_sin,4.964273966063898,Seasonality
month_cos,3.0558377712889486,Seasonality
analog_r6m,2.659771841939461,Analog Behavior
analog_total_claims,2.560765707844213,Analog Behavior
analog_frequency,2.4455499663066975,Analog Behavior
analog_active_months,2.205692386952021,Analog Behavior
analog_total_benes,2.00247419586795,Analog Behavior
analog_share,1.950175404226296,Analog Behavior
pfreq_12m,1.622960542030989,Frequency/Recency
analog_avg_qty,1.2390225410858453,Analog Behavior
qty_mean_12m,0.4700943349030385,Rolling Stats
qty_std_12m,0.45718401309807,Rolling Stats
trend_slope_12m,0.33274703718391374,Trend
qty_max_6m,0.16381912890523928,Rolling Stats
hcp_total_dcost,0.16243318344148802,HCP Behavior
