Potential_Score_0_100,hcp_id,specialty,Potential_Category
0.0,NPIIN0000000001,General Medicine,Low
59.1,NPIIN0000000002,General Medicine,Low
0.0,NPIIN0000000003,Cardiology,Low
0.0,NPIIN0000000004,Orthopedics,Low
0.6,NPIIN0000000005,Endocrinology,Low
39.6,NPIIN0000000006,Diabetology,Low
0.0,NPIIN0000000007,Endocrinology,Low
86.5,NPIIN0000000008,Urology,Low
85.6,NPIIN0000000009,Gastroenterology,Low
72.5,NPIIN0000000010,General Medicine,Low
0.0,NPIIN0000000011,Orthopedics,Low
0.3,NPIIN0000000012,Cardiology,Low
1.4,NPIIN0000000013,Urology,Low
0.0,NPIIN0000000014,Cardiology,Low
0.0,NPIIN0000000015,General Medicine,Low
0.0,NPIIN0000000016,Cardiology,Low
0.0,NPIIN0000000017,Orthopedics,Low
0.0,NPIIN0000000018,Urology,Low
0.0,NPIIN0000000019,Pulmonology,Low
97.6,NPIIN0000000020,Endocrinology,Low
72.4,NPIIN0000000021,Diabetology,Low
0.0,NPIIN0000000022,General Medicine,Low
0.4,NPIIN0000000023,Diabetology,Low
1.4,NPIIN0000000024,Cardiology,Low
54.9,NPIIN0000000025,Neurology,Low
85.8,NPIIN0000000026,Pulmonology,Low
0.0,NPIIN0000000027,Urology,Low
38.0,NPIIN0000000028,General Medicine,Low
5.8,NPIIN0000000029,General Medicine,Low
48.5,NPIIN0000000030,General Medicine,Low
50.6,NPIIN0000000031,Endocrinology,Low
0.0,NPIIN0000000032,Pulmonology,Low
0.0,NPIIN0000000033,Gastroenterology,Low
67.3,NPIIN0000000034,Endocrinology,Low
0.0,NPIIN0000000035,Diabetology,Low
6.0,NPIIN0000000036,Urology,Low
47.2,NPIIN0000000037,General Medicine,Low
0.0,NPIIN0000000038,Pulmonology,Low
0.0,NPIIN0000000039,Gastroenterology,Low
5.4,NPIIN0000000040,Pulmonology,Low
0.0,NPIIN0000000041,Cardiology,Low
0.0,NPIIN0000000042,Dermatology,Low
0.0,NPIIN0000000043,Urology,Low
0.0,NPIIN0000000044,Cardiology,Low
0.0,NPIIN0000000045,Cardiology,Low
0.0,NPIIN0000000046,Neurology,Low
0.0,NPIIN0000000047,Pulmonology,Low
14.7,NPIIN0000000048,General Medicine,Low
0.0,NPIIN0000000049,Pulmonology,Low
0.3,NPIIN0000000050,Neurology,Low
0.8,NPIIN0000000051,General Medicine,Low
33.5,NPIIN0000000052,Endocrinology,Low
0.0,NPIIN0000000053,Cardiology,Low
0.0,NPIIN0000000054,General Medicine,Low
82.1,NPIIN0000000055,Urology,Low
0.0,NPIIN0000000056,Pulmonology,Low
0.0,NPIIN0000000057,General Medicine,Low
0.0,NPIIN0000000058,Urology,Low
7.1,NPIIN0000000059,General Medicine,Low
0.0,NPIIN0000000060,General Medicine,Low
0.0,NPIIN0000000061,Cardiology,Low
0.0,NPIIN0000000062,Gastroenterology,Low
5.8,NPIIN0000000063,Neurology,Low
0.0,NPIIN0000000064,Dermatology,Low
0.3,NPIIN0000000065,Diabetology,Low
0.0,NPIIN0000000066,General Medicine,Low
69.8,NPIIN0000000067,Endocrinology,Low
0.0,NPIIN0000000068,Orthopedics,Low
