Model,Type,Set,MAE,RMSE,WAPE,R2
Last Obs (x3),Baseline,Test,0.3825970548862115,1.339093981303423,1.9764868603042878,-3.2903930636551957
3M Avg (x3),Baseline,Test,0.37369477911646587,0.9435541910133455,1.9304979253112033,-1.1301425210779303
6M Avg (x3),Baseline,Test,0.3629518072289157,0.8061738844657803,1.875,-0.5550072433678996
12M Avg (x3),Baseline,Test,0.36395582329317266,0.737842108612881,1.8801867219917012,-0.30257230247254685
Direct_CatBoost,Direct,Val,0.320473005613743,0.6788225165544144,1.6588537735363604,-0.08224841931789628
Direct_CatBoost,Direct,Test,0.37807243180755257,0.7351364951000384,1.9531127701261533,-0.29303694095248534
DirectLog_CatBoost,DirectLog,Val,0.27386120969204486,0.6718733737614809,1.4175786826502035,-0.06020376487369705
DirectLog_CatBoost,DirectLog,Test,0.32625123042287757,0.7025356323458645,1.6854057339273136,-0.1808960732487852
TwoStage_CatBoost,TwoStage,Val,0.29061844006166304,0.6836448448090283,1.504318577573407,-0.09767953609900526
TwoStage_CatBoost,TwoStage,Test,0.4058800980769051,0.7842602344807533,2.0967664817665845,-0.47161889535588486
