Pipeline,K,Precision,Recall,NDCG
Direct_XGBoost,10,0.0,0.0,0.0
Direct_XGBoost,25,0.0,0.0,0.0
Direct_XGBoost,50,0.06,0.0008,0.0461
Direct_XGBoost,100,0.11,0.0028,0.0906
Direct_XGBoost_R2_Deep,10,0.0,0.0,0.0
Direct_XGBoost_R2_Deep,25,0.04,0.0003,0.0272
Direct_XGBoost_R2_Deep,50,0.02,0.0003,0.0171
Direct_XGBoost_R2_Deep,100,0.01,0.0003,0.0106
Direct_XGBoost_R2_Robust,10,0.0,0.0,0.0
Direct_XGBoost_R2_Robust,25,0.08,0.0005,0.064
Direct_XGBoost_R2_Robust,50,0.08,0.001,0.0691
Direct_XGBoost_R2_Robust,100,0.09,0.0023,0.0814
Direct_CatBoost,10,0.0,0.0,0.0
Direct_CatBoost,25,0.0,0.0,0.0
Direct_CatBoost,50,0.0,0.0,0.0
Direct_CatBoost,100,0.03,0.0008,0.023
DirectLog_XGBoost,10,0.4,0.001,0.3909
DirectLog_XGBoost,25,0.2,0.0013,0.2492
DirectLog_XGBoost,50,0.14,0.0018,0.187
DirectLog_XGBoost,100,0.07,0.0018,0.1152
DirectLog_XGBoost_R2_Deep,10,0.0,0.0,0.0
DirectLog_XGBoost_R2_Deep,25,0.16,0.001,0.1201
DirectLog_XGBoost_R2_Deep,50,0.12,0.0015,0.1047
DirectLog_XGBoost_R2_Deep,100,0.07,0.0018,0.0717
DirectLog_XGBoost_R2_Robust,10,0.2,0.0005,0.1518
DirectLog_XGBoost_R2_Robust,25,0.12,0.0008,0.1128
DirectLog_XGBoost_R2_Robust,50,0.14,0.0018,0.1331
DirectLog_XGBoost_R2_Robust,100,0.07,0.0018,0.082
DirectLog_CatBoost,10,0.0,0.0,0.0
DirectLog_CatBoost,25,0.0,0.0,0.0
DirectLog_CatBoost,50,0.04,0.0005,0.0298
DirectLog_CatBoost,100,0.03,0.0008,0.0259
TwoStage_XGBoost,10,0.0,0.0,0.0
TwoStage_XGBoost,25,0.0,0.0,0.0
TwoStage_XGBoost,50,0.02,0.0003,0.0154
TwoStage_XGBoost,100,0.06,0.0015,0.0463
TwoStage_CatBoost,10,0.0,0.0,0.0
TwoStage_CatBoost,25,0.08,0.0005,0.0537
TwoStage_CatBoost,50,0.12,0.0015,0.0936
TwoStage_CatBoost,100,0.1,0.0026,0.0881
