hcp_id,specialty,locality,zone,Expected_3M_Demand,Potential_Score,Potential_Category,Samples
NPIIN0000008740,Diabetology,Velachery,South Chennai,3.4382149453587587,100.0,Very High,440
NPIIN0000004535,Diabetology,Madhavaram,North Chennai,3.356137578980879,90.8,Very High,400
NPIIN0000000688,Diabetology,Sholinganallur,South Chennai,3.1360965379901447,88.7,Very High,391
NPIIN0000001415,Endocrinology,Nungambakkam,Central Chennai,3.2096462314788266,87.0,Very High,383
NPIIN0000003326,Diabetology,Guindy,South Chennai,2.816446035524944,83.7,Very High,369
NPIIN0000009393,Endocrinology,Tondiarpet,North Chennai,2.6530600353067517,81.7,Very High,360
NPIIN0000002529,Endocrinology,Porur,South Chennai,2.491799800164959,77.6,High,342
NPIIN0000006649,Endocrinology,Guindy,South Chennai,2.457984402594368,76.6,High,338
NPIIN0000006597,Endocrinology,T Nagar,Central Chennai,2.4340731282297448,75.8,High,334
NPIIN0000002838,Diabetology,Nungambakkam,Central Chennai,2.405582362667096,75.2,High,331
NPIIN0000011198,Endocrinology,T Nagar,Central Chennai,2.435333885950882,75.1,High,331
NPIIN0000007868,Endocrinology,Mylapore,Central Chennai,2.3828999514889713,74.7,High,329
NPIIN0000003733,Endocrinology,Perambur,North Chennai,2.312216166756308,72.2,High,318
NPIIN0000007531,Diabetology,Egmore,Central Chennai,2.302459723425476,72.0,High,317
NPIIN0000001855,Endocrinology,Porur,South Chennai,2.2697878617672793,71.4,High,315
NPIIN0000000537,Diabetology,Tondiarpet,North Chennai,2.296727534418291,70.5,High,311
NPIIN0000011472,Diabetology,Mylapore,Central Chennai,2.277583064013697,69.9,High,308
NPIIN0000000883,Diabetology,Sholinganallur,South Chennai,2.2583718886073827,69.6,High,307
NPIIN0000000307,Diabetology,Ambattur,North Chennai,2.223423905577068,69.6,High,306
NPIIN0000003259,Endocrinology,Tondiarpet,North Chennai,2.1271274449905153,67.3,High,297
NPIIN0000005407,Diabetology,Ambattur,North Chennai,2.201841807838279,67.2,High,296
NPIIN0000006948,Endocrinology,Adyar,South Chennai,2.103207261595205,65.8,High,290
NPIIN0000005138,Endocrinology,Mylapore,Central Chennai,2.0357751213897957,63.8,High,281
NPIIN0000001074,Diabetology,Guindy,South Chennai,2.0099183786710864,63.7,High,281
NPIIN0000006156,Diabetology,Anna Nagar,Central Chennai,2.047438117575415,63.1,High,278
NPIIN0000000530,Endocrinology,Egmore,Central Chennai,2.018872501088503,62.9,High,277
NPIIN0000000163,Endocrinology,Egmore,Central Chennai,1.9979191729674375,62.8,High,277
NPIIN0000011098,Diabetology,Adyar,South Chennai,2.060239577581198,62.4,High,275
NPIIN0000001357,Endocrinology,Washermenpet,North Chennai,1.9539893592879765,62.1,High,274
NPIIN0000008759,Diabetology,Perambur,North Chennai,1.9295648935028265,62.1,High,274
NPIIN0000010516,Endocrinology,Kilpauk,Central Chennai,1.9430636419147265,62.1,High,273
NPIIN0000000512,Endocrinology,Guindy,South Chennai,1.9182764689998792,61.6,High,271
NPIIN0000009496,Endocrinology,Nungambakkam,Central Chennai,1.9038692140780034,61.4,High,270
NPIIN0000006773,Endocrinology,Royapuram,North Chennai,1.9611302339607826,61.0,High,269
NPIIN0000011017,Endocrinology,Ambattur,North Chennai,2.235143922255582,60.5,High,267
NPIIN0000010708,Diabetology,Royapuram,North Chennai,1.860459003099065,60.4,High,266
NPIIN0000010447,Diabetology,Tambaram,South Chennai,1.972641212652949,60.1,High,265
NPIIN0000000768,Diabetology,Nungambakkam,Central Chennai,1.872704543230775,60.1,High,265
NPIIN0000004104,General Medicine,Nungambakkam,Central Chennai,1.9815863878335809,59.8,Medium,263
NPIIN0000000838,Diabetology,Guindy,South Chennai,1.8819658485925714,59.7,Medium,263
NPIIN0000005703,Endocrinology,Kilpauk,Central Chennai,1.8624961552621078,59.6,Medium,263
NPIIN0000010703,Endocrinology,Anna Nagar,Central Chennai,1.9114838521575002,59.5,Medium,262
NPIIN0000011874,Endocrinology,Anna Nagar,Central Chennai,1.8906278930586171,58.0,Medium,255
NPIIN0000002469,Diabetology,Perambur,North Chennai,1.8203962095886073,57.9,Medium,255
NPIIN0000004149,Diabetology,Ambattur,North Chennai,1.8823461810661246,57.8,Medium,255
