Model,Type,Set,MAE,RMSE,WAPE,R2
Last Obs (x3),Baseline,Test,0.4838032786885246,1.5324040900108455,1.9593679458239277,-3.3556525642854647
3M Avg (x3),Baseline,Test,0.458655737704918,1.0639086611849076,1.8575222414022041,-1.0994972700682348
6M Avg (x3),Baseline,Test,0.4471639344262295,0.9105978940180808,1.8109812773868013,-0.5380126534293999
12M Avg (x3),Baseline,Test,0.44731967213114754,0.8294341839915753,1.8116120037179657,-0.2760582093706696
Direct_CatBoost,Direct,Val,0.3842829858276664,0.7434067764024321,1.513071624043095,0.04735854957405894
Direct_CatBoost,Direct,Test,0.4586123155865525,0.804115751063931,1.8573463849940048,-0.19934399146670234
DirectLog_CatBoost,DirectLog,Val,0.3372821658718018,0.7600811367751034,1.3280111097744014,0.004144440115758874
DirectLog_CatBoost,DirectLog,Test,0.39187971739139943,0.7789791169112443,1.5870842358833732,-0.12553305920299374
TwoStage_CatBoost,TwoStage,Val,0.3874080640471412,0.7599992958496601,1.5253762728336686,0.004358883939922231
TwoStage_CatBoost,TwoStage,Test,0.5105281844308123,0.8881097800691834,2.0676018623210433,-0.4629851930592903
