hcp_id,specialty,locality,zone,Expected_3M_Demand,Potential_Score,Potential_Category,Samples
NPIIN0000006850,Cardiology,Velachery,South Chennai,3.076860343498226,100.0,Very High,163
NPIIN0000008030,Diabetology,Royapuram,North Chennai,3.0013665903348556,97.5,Very High,159
NPIIN0000001960,Endocrinology,Madhavaram,North Chennai,3.1008244574727546,91.6,Very High,149
NPIIN0000006193,Endocrinology,Kilpauk,Central Chennai,3.0077471190528575,88.8,Very High,145
NPIIN0000005281,Cardiology,Porur,South Chennai,2.6763262198036037,87.9,Very High,143
NPIIN0000011768,Diabetology,Adyar,South Chennai,2.92169570455453,86.3,Very High,140
NPIIN0000001831,Endocrinology,Royapuram,North Chennai,2.805431491341029,82.8,Very High,135
NPIIN0000002385,Cardiology,Mylapore,Central Chennai,2.495110241530939,82.5,Very High,134
NPIIN0000001126,Endocrinology,Tondiarpet,North Chennai,2.7770445562235135,82.0,Very High,133
NPIIN0000006397,General Medicine,Porur,South Chennai,2.7440219893447377,81.0,Very High,132
NPIIN0000008263,Diabetology,Guindy,South Chennai,2.456846889087163,79.2,High,129
NPIIN0000000377,Cardiology,Sholinganallur,South Chennai,2.3670892900255645,78.6,High,128
NPIIN0000011196,Cardiology,Royapuram,North Chennai,2.298024605850058,76.6,High,125
NPIIN0000005994,Diabetology,Guindy,South Chennai,2.2554552777265036,76.1,High,124
NPIIN0000002377,Diabetology,Tambaram,South Chennai,2.5302577100860315,74.7,High,122
NPIIN0000006028,Endocrinology,Kilpauk,Central Chennai,2.4579328158449196,72.6,High,118
NPIIN0000005032,Cardiology,Velachery,South Chennai,2.4028075228188377,71.0,High,116
NPIIN0000010192,Endocrinology,T Nagar,Central Chennai,2.1103220254280313,69.7,High,114
NPIIN0000004079,Cardiology,Anna Nagar,Central Chennai,2.3407478451778205,69.1,High,112
NPIIN0000000499,Endocrinology,Perambur,North Chennai,2.3255043667298874,68.7,High,112
NPIIN0000007565,Cardiology,Anna Nagar,Central Chennai,2.0974090940013848,67.3,High,109
NPIIN0000000468,Cardiology,Guindy,South Chennai,1.938193266602447,66.7,High,109
NPIIN0000010699,Endocrinology,Tambaram,South Chennai,2.0082468916945926,66.0,High,107
NPIIN0000001034,Cardiology,Sholinganallur,South Chennai,2.2196405992291477,65.7,High,107
NPIIN0000004174,Cardiology,T Nagar,Central Chennai,2.2011720517183724,65.0,High,106
NPIIN0000000395,Cardiology,Mylapore,Central Chennai,2.1914417779290023,64.7,High,105
NPIIN0000006010,Cardiology,Adyar,South Chennai,1.936130927347255,64.1,High,104
NPIIN0000007919,Cardiology,Porur,South Chennai,2.1570887491211934,63.7,High,104
NPIIN0000001282,Cardiology,Ambattur,North Chennai,2.1465274840897104,63.4,High,103
NPIIN0000005054,Diabetology,Mylapore,Central Chennai,2.141055122165057,63.2,High,103
NPIIN0000010084,Diabetology,Tambaram,South Chennai,2.1294396620795073,62.9,High,102
NPIIN0000005468,General Medicine,Kilpauk,Central Chennai,2.1110225308053936,62.3,High,101
NPIIN0000010881,General Medicine,Kilpauk,Central Chennai,2.1106690733411266,62.3,High,101
NPIIN0000009020,Diabetology,Adyar,South Chennai,2.110400903352164,62.3,High,101
NPIIN0000010938,Cardiology,Madhavaram,North Chennai,1.8114488914297633,62.3,High,101
NPIIN0000010740,Diabetology,Perambur,North Chennai,1.8903894756195059,62.1,High,101
NPIIN0000000270,Endocrinology,Kilpauk,Central Chennai,2.0919826974006632,61.8,High,101
NPIIN0000000224,Gastroenterology,Adyar,South Chennai,2.090356954432223,61.7,High,101
NPIIN0000002458,Diabetology,Egmore,Central Chennai,2.0908983564471724,61.7,High,100
NPIIN0000000969,Cardiology,Perambur,North Chennai,1.8457346656521594,61.1,High,99
NPIIN0000001996,Diabetology,Guindy,South Chennai,1.7278207343409968,61.1,High,99
