hcp_id,specialty,locality,zone,Probability_Active,Positive_Demand,Expected_3M_Demand,Potential_Score,Potential_Category,final_hcp_score,Samples
NPIIN0000006850,Cardiology,Velachery,South Chennai,0.9456081877694404,3.076860343498226,3.076860343498226,100.0,Very High,0.9832306172005896,163
NPIIN0000008030,Diabetology,Royapuram,North Chennai,0.8246760472028194,3.0013665903348556,3.0013665903348556,97.5,Very High,0.9586893337892579,159
NPIIN0000001960,Endocrinology,Madhavaram,North Chennai,0.3219886105936714,3.1008244574727546,3.1008244574727546,91.6,Very High,0.9008114827901784,149
NPIIN0000006193,Endocrinology,Kilpauk,Central Chennai,0.03594906436745667,3.0077471190528575,3.0077471190528575,88.8,Very High,0.8732041535057884,145
NPIIN0000005281,Cardiology,Porur,South Chennai,0.9133603019102048,2.6763262198036037,2.6763262198036037,87.9,Very High,0.8641933495509744,143
NPIIN0000011768,Diabetology,Adyar,South Chennai,0.034975900145485544,2.92169570455453,2.92169570455453,86.3,Very High,0.8480721028929961,140
NPIIN0000001831,Endocrinology,Royapuram,North Chennai,0.03756248028595598,2.805431491341029,2.805431491341029,82.8,Very High,0.8142896694971262,135
NPIIN0000002385,Cardiology,Mylapore,Central Chennai,0.8939154655237387,2.495110241530939,2.495110241530939,82.5,Very High,0.8115618409333022,134
NPIIN0000001126,Endocrinology,Tondiarpet,North Chennai,0.257450266394468,2.7770445562235135,2.7770445562235135,82.0,Very High,0.8063001000765422,133
NPIIN0000006397,General Medicine,Porur,South Chennai,0.16919089985321256,2.7440219893447377,2.7440219893447377,81.0,Very High,0.7965140459094191,132
NPIIN0000008263,Diabetology,Guindy,South Chennai,0.8158230621757047,2.456846889087163,2.456846889087163,79.2,High,0.7790207575971929,129
NPIIN0000000377,Cardiology,Sholinganallur,South Chennai,0.800014578548739,2.3670892900255645,2.3670892900255645,78.6,High,0.7731405196617839,128
NPIIN0000011196,Cardiology,Royapuram,North Chennai,0.7890041475426385,2.298024605850058,2.298024605850058,76.6,High,0.7533720603688302,125
NPIIN0000005994,Diabetology,Guindy,South Chennai,0.9269558575939043,2.2554552777265036,2.2554552777265036,76.1,High,0.7482560423333068,124
NPIIN0000002377,Diabetology,Tambaram,South Chennai,0.17418307325595625,2.5302577100860315,2.5302577100860315,74.7,High,0.7346825498030017,122
NPIIN0000006028,Endocrinology,Kilpauk,Central Chennai,0.2564351476757773,2.4579328158449196,2.4579328158449196,72.6,High,0.7137658674007039,118
NPIIN0000005032,Cardiology,Velachery,South Chennai,0.290103997795367,2.4028075228188377,2.4028075228188377,71.0,High,0.6981208474347262,116
NPIIN0000010192,Endocrinology,T Nagar,Central Chennai,0.7333231610910393,2.1103220254280313,2.1103220254280313,69.7,High,0.6857172711279877,114
NPIIN0000004079,Cardiology,Anna Nagar,Central Chennai,0.16465555811994642,2.3407478451778205,2.3407478451778205,69.1,High,0.679421588065686,112
NPIIN0000000499,Endocrinology,Perambur,North Chennai,0.2568402550845406,2.3255043667298874,2.3255043667298874,68.7,High,0.6758167946887712,112
NPIIN0000007565,Cardiology,Anna Nagar,Central Chennai,0.5693597475514028,2.0974090940013848,2.0974090940013848,67.3,High,0.6613178870158771,109
NPIIN0000000468,Cardiology,Guindy,South Chennai,0.9212256528197068,1.938193266602447,1.938193266602447,66.7,High,0.6557303414267983,109
NPIIN0000010699,Endocrinology,Tambaram,South Chennai,0.7805493983065483,2.0082468916945926,2.0082468916945926,66.0,High,0.6490284211700357,107
NPIIN0000001034,Cardiology,Sholinganallur,South Chennai,0.4409345359181461,2.2196405992291477,2.2196405992291477,65.7,High,0.6458581234231793,107
NPIIN0000004174,Cardiology,T Nagar,Central Chennai,0.17954405407821403,2.2011720517183724,2.2011720517183724,65.0,High,0.6391755810039926,106
NPIIN0000000395,Cardiology,Mylapore,Central Chennai,0.18089057789537435,2.1914417779290023,2.1914417779290023,64.7,High,0.6361307019342287,105
NPIIN0000006010,Cardiology,Adyar,South Chennai,0.7017435948030608,1.936130927347255,1.936130927347255,64.1,High,0.6304822653350499,104
NPIIN0000007919,Cardiology,Porur,South Chennai,0.2752068356424818,2.1570887491211934,2.1570887491211934,63.7,High,0.6263142759072637,104
NPIIN0000001282,Cardiology,Ambattur,North Chennai,0.27353015475444725,2.1465274840897104,2.1465274840897104,63.4,High,0.6237419355719153,103
NPIIN0000005054,Diabetology,Mylapore,Central Chennai,0.16993890281196075,2.141055122165057,2.141055122165057,63.2,High,0.6217169429492906,103
NPIIN0000010084,Diabetology,Tambaram,South Chennai,0.16936892105826698,2.1294396620795073,2.1294396620795073,62.9,High,0.6180900555063381,102
NPIIN0000005468,General Medicine,Kilpauk,Central Chennai,0.16476181285147046,2.1110225308053936,2.1110225308053936,62.3,High,0.6130095921771654,101
NPIIN0000010881,General Medicine,Kilpauk,Central Chennai,0.16343182704657916,2.1106690733411266,2.1106690733411266,62.3,High,0.6129057424707114,101
NPIIN0000009020,Diabetology,Adyar,South Chennai,0.16621977368789717,2.110400903352164,2.110400903352164,62.3,High,0.6125648067727539,101
NPIIN0000010938,Cardiology,Madhavaram,North Chennai,0.8547958663846154,1.8114488914297633,1.8114488914297633,62.3,High,0.6121847646915828,101
NPIIN0000010740,Diabetology,Perambur,North Chennai,0.6757055858479872,1.8903894756195059,1.8903894756195059,62.1,High,0.6108394220999238,101
NPIIN0000000270,Endocrinology,Kilpauk,Central Chennai,0.2651547189796959,2.0919826974006632,2.0919826974006632,61.8,High,0.6072645908575597,101
NPIIN0000000224,Gastroenterology,Adyar,South Chennai,0.2723284607374924,2.090356954432223,2.090356954432223,61.7,High,0.6070001538377262,101
NPIIN0000002458,Diabetology,Egmore,Central Chennai,0.27215254307598424,2.0908983564471724,2.0908983564471724,61.7,High,0.6069033536245431,100
NPIIN0000000969,Cardiology,Perambur,North Chennai,0.6378780441083053,1.8457346656521594,1.8457346656521594,61.1,High,0.600580926492674,99
NPIIN0000001996,Diabetology,Guindy,South Chennai,0.9241463782172911,1.7278207343409968,1.7278207343409968,61.1,High,0.6005352026180764,99
