hcp_id,specialty,locality,zone,Probability_Active,Positive_Demand,Expected_3M_Demand,Potential_Score,Potential_Category,final_hcp_score,Samples
NPIIN0000008740,Diabetology,Velachery,South Chennai,0.8267362924095331,3.4382149453587587,3.4382149453587587,100.0,Very High,0.9686347979206449,449
NPIIN0000004535,Diabetology,Madhavaram,North Chennai,0.15360985277439154,3.356137578980879,3.356137578980879,90.8,Very High,0.8795785726197762,408
NPIIN0000000688,Diabetology,Sholinganallur,South Chennai,0.8100914860023843,3.1360965379901447,3.1360965379901447,88.7,Very High,0.8594310881013,398
NPIIN0000001415,Endocrinology,Nungambakkam,Central Chennai,0.4442275570933187,3.2096462314788266,3.2096462314788266,87.0,Very High,0.8427226344470661,391
NPIIN0000003326,Diabetology,Guindy,South Chennai,0.4707837473974771,2.816446035524944,2.816446035524944,83.7,Very High,0.8110315830647119,376
NPIIN0000009393,Endocrinology,Tondiarpet,North Chennai,0.9124209574695099,2.6530600353067517,2.6530600353067517,81.7,Very High,0.7917156901160944,367
NPIIN0000002529,Endocrinology,Porur,South Chennai,0.9596593210369566,2.491799800164959,2.491799800164959,77.6,High,0.7519232428222348,349
NPIIN0000006649,Endocrinology,Guindy,South Chennai,0.936419961769176,2.457984402594368,2.457984402594368,76.6,High,0.7424096797976122,344
NPIIN0000006597,Endocrinology,T Nagar,Central Chennai,0.9726104663525893,2.4340731282297448,2.4340731282297448,75.8,High,0.7343788633737456,340
NPIIN0000002838,Diabetology,Nungambakkam,Central Chennai,0.9369427045420328,2.405582362667096,2.405582362667096,75.2,High,0.7286489010199764,338
NPIIN0000011198,Endocrinology,T Nagar,Central Chennai,0.9280497579840599,2.435333885950882,2.435333885950882,75.1,High,0.7274470537992561,337
NPIIN0000007868,Endocrinology,Mylapore,Central Chennai,0.9606319413648892,2.3828999514889713,2.3828999514889713,74.7,High,0.7237568009724062,335
NPIIN0000003733,Endocrinology,Perambur,North Chennai,0.969314236134421,2.312216166756308,2.312216166756308,72.2,High,0.6995977586393252,324
NPIIN0000007531,Diabetology,Egmore,Central Chennai,0.949615472186499,2.302459723425476,2.302459723425476,72.0,High,0.6970657452656205,323
NPIIN0000001855,Endocrinology,Porur,South Chennai,0.9493833566170675,2.2697878617672793,2.2697878617672793,71.4,High,0.6916451479208946,321
NPIIN0000000537,Diabetology,Tondiarpet,North Chennai,0.7711949274002058,2.296727534418291,2.296727534418291,70.5,High,0.6832517102204422,317
NPIIN0000011472,Diabetology,Mylapore,Central Chennai,0.8537967786491882,2.277583064013697,2.277583064013697,69.9,High,0.6770085374274618,314
NPIIN0000000883,Diabetology,Sholinganallur,South Chennai,0.8237053238821684,2.2583718886073827,2.2583718886073827,69.6,High,0.6744201667974211,313
NPIIN0000000307,Diabetology,Ambattur,North Chennai,0.9089427855272003,2.223423905577068,2.223423905577068,69.6,High,0.6739405351677206,312
NPIIN0000003259,Endocrinology,Tondiarpet,North Chennai,0.9355792229483362,2.1271274449905153,2.1271274449905153,67.3,High,0.6522791427467336,302
NPIIN0000005407,Diabetology,Ambattur,North Chennai,0.7330580125573355,2.201841807838279,2.201841807838279,67.2,High,0.651107054662794,302
NPIIN0000006948,Endocrinology,Adyar,South Chennai,0.8451755513205966,2.103207261595205,2.103207261595205,65.8,High,0.6374233723111298,295
NPIIN0000005138,Endocrinology,Mylapore,Central Chennai,0.9242639424948575,2.0357751213897957,2.0357751213897957,63.8,High,0.6184782308652903,287
NPIIN0000001074,Diabetology,Guindy,South Chennai,0.8029578431770363,2.0099183786710864,2.0099183786710864,63.7,High,0.6170314799257595,286
NPIIN0000006156,Diabetology,Anna Nagar,Central Chennai,0.528919024581834,2.047438117575415,2.047438117575415,63.1,High,0.6115026759329992,283
NPIIN0000000530,Endocrinology,Egmore,Central Chennai,0.852909133725753,2.018872501088503,2.018872501088503,62.9,High,0.6089887080675003,282
NPIIN0000000163,Endocrinology,Egmore,Central Chennai,0.9212024548321429,1.9979191729674375,1.9979191729674375,62.8,High,0.6083452561134316,282
NPIIN0000011098,Diabetology,Adyar,South Chennai,0.8222049352949857,2.060239577581198,2.060239577581198,62.4,High,0.6047730243362768,280
NPIIN0000001357,Endocrinology,Washermenpet,North Chennai,0.9494269477149532,1.9539893592879765,1.9539893592879765,62.1,High,0.6017392413556214,279
NPIIN0000008759,Diabetology,Perambur,North Chennai,0.9087572685512625,1.9295648935028265,1.9295648935028265,62.1,High,0.6015890205011257,279
NPIIN0000010516,Endocrinology,Kilpauk,Central Chennai,0.8726894384346312,1.9430636419147265,1.9430636419147265,62.1,High,0.6011780443035718,279
NPIIN0000000512,Endocrinology,Guindy,South Chennai,0.8795554234564439,1.9182764689998792,1.9182764689998792,61.6,High,0.5963743889215374,276
NPIIN0000009496,Endocrinology,Nungambakkam,Central Chennai,0.9392568291308516,1.9038692140780034,1.9038692140780034,61.4,High,0.594437192233082,276
NPIIN0000006773,Endocrinology,Royapuram,North Chennai,0.8822866672397618,1.9611302339607826,1.9611302339607826,61.0,High,0.5905862683461056,274
NPIIN0000011017,Endocrinology,Ambattur,North Chennai,0.04407531422445578,2.235143922255582,2.235143922255582,60.5,High,0.5864333788290813,272
NPIIN0000010708,Diabetology,Royapuram,North Chennai,0.9655349779465531,1.860459003099065,1.860459003099065,60.4,High,0.5854338723786948,271
NPIIN0000010447,Diabetology,Tambaram,South Chennai,0.781898414351615,1.972641212652949,1.972641212652949,60.1,High,0.5824458007919007,270
NPIIN0000000768,Diabetology,Nungambakkam,Central Chennai,0.9016536091313745,1.872704543230775,1.872704543230775,60.1,High,0.5818835630097625,270
NPIIN0000004104,General Medicine,Nungambakkam,Central Chennai,0.8535605626144207,1.9815863878335809,1.9815863878335809,59.8,Medium,0.5789392658163339,268
NPIIN0000000838,Diabetology,Guindy,South Chennai,0.9167682954577773,1.8819658485925714,1.8819658485925714,59.7,Medium,0.578627613468468,268
NPIIN0000005703,Endocrinology,Kilpauk,Central Chennai,0.9523506527117237,1.8624961552621078,1.8624961552621078,59.6,Medium,0.5774125938512763,268
NPIIN0000010703,Endocrinology,Anna Nagar,Central Chennai,0.8288228884991196,1.9114838521575002,1.9114838521575002,59.5,Medium,0.5767196637829228,267
