Rank,HCP_ID,Specialty,Zone,Expected_3M_Demand,Potential_Score,Class_Share,Analog_Active_Months,Samples,Top_Reasons
1,NPIIN0000008740,Diabetology,South Chennai,3.44,100.0,0.806,5,449,High Antidiabetic class share (80.6%) | High recent prescription activity (top 25%) | Analog history: 5 active months | Positive 6M prescription trend | Specialty TC affinity: 42.5% | TC demand growing in recent 6M
2,NPIIN0000004535,Diabetology,North Chennai,3.36,90.8,0.405,2,408,High Antidiabetic class share (40.5%) | High recent prescription activity (top 25%) | Analog history: 2 active months | Positive 6M prescription trend | Specialty TC affinity: 42.5% | TC demand growing in recent 6M
3,NPIIN0000000688,Diabetology,South Chennai,3.14,88.7,0.438,4,398,High Antidiabetic class share (43.8%) | High recent prescription activity (top 25%) | Analog history: 4 active months | Positive 6M prescription trend | Specialty TC affinity: 42.5%
4,NPIIN0000001415,Endocrinology,Central Chennai,3.21,87.0,0.5,3,391,High Antidiabetic class share (50.0%) | High recent prescription activity (top 25%) | Analog history: 3 active months | Specialty TC affinity: 42.9%
5,NPIIN0000003326,Diabetology,South Chennai,2.82,83.7,0.661,4,376,High Antidiabetic class share (66.1%) | High recent prescription activity (top 25%) | Analog history: 4 active months | Positive 6M prescription trend | Specialty TC affinity: 42.5%
6,NPIIN0000009393,Endocrinology,North Chennai,2.65,81.7,0.487,5,367,High Antidiabetic class share (48.7%) | High recent prescription activity (top 25%) | Analog history: 5 active months | Specialty TC affinity: 42.9%
7,NPIIN0000002529,Endocrinology,South Chennai,2.49,77.6,0.575,8,349,High Antidiabetic class share (57.5%) | High recent prescription activity (top 25%) | Analog history: 8 active months | Positive 6M prescription trend | Specialty TC affinity: 42.9% | TC demand growing in recent 6M
8,NPIIN0000006649,Endocrinology,South Chennai,2.46,76.6,0.461,5,344,High Antidiabetic class share (46.1%) | High recent prescription activity (top 25%) | Analog history: 5 active months | Specialty TC affinity: 42.9%
9,NPIIN0000006597,Endocrinology,Central Chennai,2.43,75.8,0.361,4,340,High Antidiabetic class share (36.1%) | High recent prescription activity (top 25%) | Analog history: 4 active months | Positive 6M prescription trend | Specialty TC affinity: 42.9%
10,NPIIN0000002838,Diabetology,Central Chennai,2.41,75.2,0.583,5,338,High Antidiabetic class share (58.3%) | High recent prescription activity (top 25%) | Analog history: 5 active months | Specialty TC affinity: 42.5%
