Model,Type,Set,MAE,RMSE,WAPE,R2
Last Obs (x3),Baseline,Test,0.48538891276321444,1.5417830496107547,1.9202652159129547,-3.1567734549448243
3M Avg (x3),Baseline,Test,0.45431886549204986,1.0812302595131191,1.7973478408704522,-1.0443074223685977
6M Avg (x3),Baseline,Test,0.441813493768801,0.9223855024016938,1.7478748724923496,-0.4877664442013492
12M Avg (x3),Baseline,Test,0.44447786850021487,0.852607290663658,1.7584155049302959,-0.27118250324802995
Direct_CatBoost,Direct,Val,0.36587990123225733,0.7528131521489997,1.5213804425596833,0.05449883735956729
Direct_CatBoost,Direct,Test,0.4561318381659572,0.8236713114575179,1.8045202098132989,-0.18636329631291781
DirectLog_CatBoost,DirectLog,Val,0.32475375744844326,0.7708641617900761,1.3503721127228545,0.00861262919738881
DirectLog_CatBoost,DirectLog,Test,0.408050043873124,0.8088749214619835,1.614302026679292,-0.14412259876213906
TwoStage_CatBoost,TwoStage,Val,0.36882215440522226,0.7750684092343917,1.5336147479132494,-0.0022307959942049482
TwoStage_CatBoost,TwoStage,Test,0.4721143321070256,0.8947774586398466,1.8677491513312623,-0.4000382210319873
