hcp_id,specialty,locality,zone,Probability_Active,Positive_Demand,Expected_3M_Demand,Potential_Score,Potential_Category,final_hcp_score,Samples
NPIIN0000011952,Cardiology,Perambur,North Chennai,0.9109990387501176,1.8022671,1.8022671,100.0,Very High,0.9932538,500
NPIIN0000008626,Cardiology,Mylapore,Central Chennai,0.1517206596384492,1.4527678,1.4527678,73.5,High,0.73036975,368
NPIIN0000003297,Cardiology,Adyar,South Chennai,0.8547219871856118,1.1924193,1.1924193,69.8,High,0.69298315,349
NPIIN0000009544,Cardiology,Royapuram,North Chennai,0.5294895781144943,1.2355044,1.2355044,67.4,High,0.6698154,337
NPIIN0000011811,Cardiology,Sholinganallur,South Chennai,0.3667822569620102,1.3109243,1.3109243,66.7,High,0.66261303,334
NPIIN0000002385,Cardiology,Mylapore,Central Chennai,0.1942460104361683,1.1239657,1.1239657,65.2,High,0.6472231,326
NPIIN0000000930,Pulmonology,Adyar,South Chennai,0.9782992158558403,1.0960252,1.0960252,64.5,High,0.64108187,323
NPIIN0000010738,Cardiology,Tondiarpet,North Chennai,0.9726689931549641,1.0662425,1.0662425,63.0,High,0.6255937,315
NPIIN0000000570,General Medicine,Ambattur,North Chennai,0.9810676041542925,1.0615036,1.0615036,62.3,High,0.6189333,312
NPIIN0000009848,Cardiology,Ambattur,North Chennai,0.9511953692444884,1.0437183,1.0437183,61.9,High,0.61475563,310
NPIIN0000008246,Cardiology,T Nagar,Central Chennai,0.8647064080737049,1.1235895,1.1235895,61.7,High,0.6130128,309
NPIIN0000008581,Cardiology,Madhavaram,North Chennai,0.9070193012222666,1.0405345,1.0405345,61.7,High,0.6124667,308
NPIIN0000000335,Cardiology,Egmore,Central Chennai,0.9726318220254329,1.0392251,1.0392251,61.6,High,0.6115922,308
NPIIN0000001969,Endocrinology,Madhavaram,North Chennai,0.9785332992735188,1.0379479,1.0379479,61.3,High,0.60876495,306
NPIIN0000006324,General Medicine,T Nagar,Central Chennai,0.924413590466463,1.0269372,1.0269372,61.2,High,0.60768986,306
NPIIN0000008860,Cardiology,Mylapore,Central Chennai,0.977924066476811,1.0168617,1.0168617,60.5,High,0.6007646,302
NPIIN0000006757,General Medicine,Porur,South Chennai,0.9744599414424477,1.0174346,1.0174346,60.4,High,0.600195,302
NPIIN0000010386,Cardiology,Kilpauk,Central Chennai,0.9723359608735284,1.0122542,1.0122542,60.3,High,0.59876865,301
NPIIN0000004214,Cardiology,Nungambakkam,Central Chennai,0.3820268595515962,1.056982,1.056982,58.4,Medium,0.5798542,292
NPIIN0000008589,Cardiology,Washermenpet,North Chennai,0.9790638192819805,1.0595932,1.0595932,58.0,Medium,0.5756425,290
NPIIN0000009070,Neurology,Egmore,Central Chennai,0.9703326227908723,0.95328844,0.95328844,57.4,Medium,0.57056355,287
NPIIN0000004052,General Medicine,Guindy,South Chennai,0.9732185380503708,1.0435796,1.0435796,57.1,Medium,0.5675852,286
NPIIN0000006008,General Medicine,Velachery,South Chennai,0.974171551096257,1.0216169,1.0216169,57.1,Medium,0.56737936,286
NPIIN0000002154,Cardiology,Porur,South Chennai,0.9567641609655851,0.94212615,0.94212615,56.7,Medium,0.5633496,284
NPIIN0000007934,Cardiology,Mylapore,Central Chennai,0.9763465297486723,1.0269439,1.0269439,56.7,Medium,0.5628056,283
NPIIN0000007461,Cardiology,Madhavaram,North Chennai,0.9746896616424003,1.0263705,1.0263705,56.5,Medium,0.5611534,283
NPIIN0000001242,Diabetology,Nungambakkam,Central Chennai,0.962861928586208,1.0595355,1.0595355,56.1,Medium,0.5575488,281
NPIIN0000008040,General Medicine,Guindy,South Chennai,0.9653479502722538,0.9269582,0.9269582,56.0,Medium,0.55606353,280
NPIIN0000003084,Gastroenterology,Tambaram,South Chennai,0.9633851503420816,1.0657537,1.0657537,55.9,Medium,0.55547917,280
NPIIN0000011882,Cardiology,Adyar,South Chennai,0.9641825120374523,0.92818666,0.92818666,55.9,Medium,0.5551799,280
NPIIN0000001807,Cardiology,Anna Nagar,Central Chennai,0.9652632843845443,0.9238143,0.9238143,55.8,Medium,0.5542629,279
NPIIN0000010469,Cardiology,Washermenpet,North Chennai,0.09436777802640647,0.93887293,0.93887293,55.6,Medium,0.5525507,278
NPIIN0000007413,General Medicine,Mylapore,Central Chennai,0.9686703168078757,1.0178256,1.0178256,55.4,Medium,0.55070025,277
NPIIN0000009971,General Medicine,Velachery,South Chennai,0.9732264127383354,1.0120406,1.0120406,55.4,Medium,0.55028033,277
NPIIN0000005962,Urology,T Nagar,Central Chennai,0.9631049165235342,1.043653,1.043653,55.3,Medium,0.54962325,277
NPIIN0000010930,Pulmonology,Tondiarpet,North Chennai,0.9232382154517895,1.0735977,1.0735977,55.2,Medium,0.5485673,276
