Rank,HCP_ID,Specialty,Zone,Expected_3M_Demand,Potential_Score,Class_Share,Analog_Active_Months,Samples,Top_Reasons
1,NPIIN0000008740,Diabetology,South Chennai,3.82,100.0,0.806,5,156,High Antidiabetic class share (80.6%) | High recent prescription activity (top 25%) | Analog history: 5 active months | Positive 6M prescription trend | Specialty TC affinity: 42.5% | TC demand growing in recent 6M
2,NPIIN0000011198,Endocrinology,Central Chennai,3.48,95.3,0.586,5,148,High Antidiabetic class share (58.6%) | High recent prescription activity (top 25%) | Analog history: 5 active months | Positive 6M prescription trend | Specialty TC affinity: 42.9%
3,NPIIN0000010447,Diabetology,South Chennai,3.61,95.0,0.473,4,148,High Antidiabetic class share (47.3%) | High recent prescription activity (top 25%) | Analog history: 4 active months | Positive 6M prescription trend | Specialty TC affinity: 42.5% | TC demand growing in recent 6M
4,NPIIN0000009393,Endocrinology,North Chennai,3.36,93.0,0.487,5,145,High Antidiabetic class share (48.7%) | High recent prescription activity (top 25%) | Analog history: 5 active months | Specialty TC affinity: 42.9%
5,NPIIN0000003326,Diabetology,South Chennai,3.14,86.1,0.661,4,134,High Antidiabetic class share (66.1%) | High recent prescription activity (top 25%) | Analog history: 4 active months | Positive 6M prescription trend | Specialty TC affinity: 42.5%
6,NPIIN0000001415,Endocrinology,Central Chennai,3.4,85.2,0.5,3,133,High Antidiabetic class share (50.0%) | High recent prescription activity (top 25%) | Analog history: 3 active months | Specialty TC affinity: 42.9%
7,NPIIN0000000883,Diabetology,South Chennai,3.08,84.7,0.404,5,132,High Antidiabetic class share (40.4%) | Analog history: 5 active months | Positive 6M prescription trend | Specialty TC affinity: 42.5%
8,NPIIN0000002469,Diabetology,North Chennai,3.06,84.6,0.633,6,132,High Antidiabetic class share (63.3%) | High recent prescription activity (top 25%) | Analog history: 6 active months | Specialty TC affinity: 42.5% | TC demand growing in recent 6M
9,NPIIN0000000688,Diabetology,South Chennai,3.22,83.3,0.438,4,130,High Antidiabetic class share (43.8%) | High recent prescription activity (top 25%) | Analog history: 4 active months | Positive 6M prescription trend | Specialty TC affinity: 42.5%
10,NPIIN0000002838,Diabetology,Central Chennai,2.95,83.0,0.583,5,129,High Antidiabetic class share (58.3%) | High recent prescription activity (top 25%) | Analog history: 5 active months | Specialty TC affinity: 42.5%
